1,Claudell,Poland,2
2,Gayla,China,5
3,Del,China,3
4,Jasmin,China,1
5,Cortie,China,5
6,Kain,Spain,3
7,Ella,Belarus,2
8,Bernadene,North Korea,2
9,Merla,Indonesia,4
10,Garek,China,5
11,Blakelee,China,3
12,Dicky,Philippines,5
14,Kiah,Brazil,5
15,Vanna,China,1
16,Sergio,Uganda,3
17,Cornela,Russia,5
18,Quint,Malaysia,1
22,Carlita,France,4
23,Miltie,Jamaica,2
24,Meir,Greece,1
26,Arabela,Japan,1
27,Aleen,Portugal,2
28,Bonny,Comoros,4
29,Natalie,Indonesia,3
31,Arleen,China,5
32,Harlen,Indonesia,2
33,Benedetta,Kazakhstan,2
34,Montgomery,Costa Rica,2
35,Elisha,Greece,4
36,Emogene,Indonesia,1
37,Micky,Japan,3
38,Creight,Bulgaria,3
39,Norah,Nigeria,5
41,Quentin,Sweden,5
42,Roth,Ukraine,2
43,Kaile,Ukraine,5
44,Britt,France,2
45,Lily,Indonesia,4
46,Ralph,Russia,2
47,Hazlett,China,2
49,Rafi,Bolivia,4
50,Cross,Palau,2
